,stack_id,x_min,y_min,x_max,y_max,object_type_id,name,add_date
0,1831074,1141,633,1269,728,22,ascaris,2021-11-09 10:43:09
1,1831074,157,57,285,167,22,ascaris,2021-11-09 10:43:09
2,1831074,246,0,374,72,22,ascaris,2021-11-09 10:43:09
3,1831074,392,630,520,730,22,ascaris,2021-11-09 10:43:09
4,1831074,464,102,592,212,22,ascaris,2021-11-09 10:43:09
5,1831084,220,654,348,726,22,ascaris,2021-11-09 10:43:09
6,1831084,362,194,490,279,22,ascaris,2021-11-09 10:43:09
7,1831084,485,418,613,529,22,ascaris,2021-11-09 10:43:09
8,1831084,726,329,854,417,22,ascaris,2021-11-09 10:43:09
9,1831084,980,527,1108,599,22,ascaris,2021-11-09 10:43:09
10,1831084,1043,60,1171,132,22,ascaris,2021-11-09 10:43:09
11,1831084,1174,656,1302,728,22,ascaris,2021-11-09 10:43:09
12,1831148,531,172,659,244,22,ascaris,2021-11-09 10:43:09
13,1831148,680,227,808,299,22,ascaris,2021-11-09 10:43:09
14,1831148,803,480,931,552,22,ascaris,2021-11-09 10:43:09
15,1831148,858,229,986,325,22,ascaris,2021-11-09 10:43:09
16,1831148,912,470,999,581,22,ascaris,2021-11-09 10:43:09
17,1831162,5,216,133,288,22,ascaris,2021-11-09 10:43:09
18,1831162,10,379,138,451,22,ascaris,2021-11-09 10:43:09
19,1831162,152,373,280,445,22,ascaris,2021-11-09 10:43:09
20,1831162,263,459,391,531,22,ascaris,2021-11-09 10:43:09
21,1831162,320,401,448,473,22,ascaris,2021-11-09 10:43:09
22,1831162,744,22,872,94,22,ascaris,2021-11-09 10:43:09
23,1831162,831,30,959,102,22,ascaris,2021-11-09 10:43:09
24,1831162,873,272,1001,344,22,ascaris,2021-11-09 10:43:09
25,1831162,965,465,1093,537,22,ascaris,2021-11-09 10:43:09
26,1831162,1162,445,1290,517,22,ascaris,2021-11-09 10:43:09
27,1831162,1188,564,1316,636,22,ascaris,2021-11-09 10:43:09
28,1831212,380,342,508,414,22,ascaris,2021-11-09 10:43:09
29,1831212,129,420,257,492,22,ascaris,2021-11-09 10:43:09
30,1831212,240,380,368,488,22,ascaris,2021-11-09 10:43:09
31,1831212,427,106,555,178,22,ascaris,2021-11-09 10:43:09
32,1831212,815,157,943,229,22,ascaris,2021-11-09 10:43:09
33,1831212,1021,213,1149,285,22,ascaris,2021-11-09 10:43:09
34,1831212,1184,284,1312,356,22,ascaris,2021-11-09 10:43:09
35,1831223,470,266,598,338,22,ascaris,2021-11-09 10:43:09
36,1831223,595,490,683,562,22,ascaris,2021-11-09 10:43:09
37,1831223,600,197,728,269,22,ascaris,2021-11-09 10:43:09
38,1831223,754,659,882,731,22,ascaris,2021-11-09 10:43:09
39,1831223,836,446,964,518,22,ascaris,2021-11-09 10:43:09
40,1831223,857,628,961,720,22,ascaris,2021-11-09 10:43:09
41,1831223,900,62,1028,134,22,ascaris,2021-11-09 10:43:09
42,1831223,1007,464,1135,536,22,ascaris,2021-11-09 10:43:09
43,1831223,1052,77,1180,149,22,ascaris,2021-11-09 10:43:09
44,1831223,1052,369,1180,470,22,ascaris,2021-11-09 10:43:09
45,1831223,1053,0,1181,72,22,ascaris,2021-11-09 10:43:09
46,1831247,0,121,66,193,22,ascaris,2021-11-09 10:43:09
47,1831247,22,489,150,572,22,ascaris,2021-11-09 10:43:09
48,1831247,176,13,304,85,22,ascaris,2021-11-09 10:43:09
49,1831247,491,220,584,292,22,ascaris,2021-11-09 10:43:09
50,1831247,508,53,636,155,22,ascaris,2021-11-09 10:43:09
51,1831247,574,370,702,442,22,ascaris,2021-11-09 10:43:09
52,1831247,673,257,801,347,22,ascaris,2021-11-09 10:43:09
53,1831247,697,153,825,246,22,ascaris,2021-11-09 10:43:09
54,1831247,813,7,941,105,22,ascaris,2021-11-09 10:43:09
55,1831247,850,462,978,534,22,ascaris,2021-11-09 10:43:09
56,1831247,1111,166,1239,261,22,ascaris,2021-11-09 10:43:09
57,1831280,335,402,463,493,22,ascaris,2021-11-09 10:43:09
58,1831280,540,344,668,438,22,ascaris,2021-11-09 10:43:09
59,1831280,701,407,829,504,22,ascaris,2021-11-09 10:43:09
60,1831348,0,400,89,493,22,ascaris,2021-11-09 10:43:09
61,1831348,29,207,157,279,22,ascaris,2021-11-09 10:43:09
62,1831348,339,0,467,72,22,ascaris,2021-11-09 10:43:09
63,1831348,800,35,928,107,22,ascaris,2021-11-09 10:43:09
64,1831348,1044,0,1172,72,22,ascaris,2021-11-09 10:43:09
65,1831348,1141,0,1269,72,22,ascaris,2021-11-09 10:43:09
66,1831392,118,21,246,93,22,ascaris,2021-11-09 10:43:09
67,1831392,203,0,331,72,22,ascaris,2021-11-09 10:43:09
68,1831392,442,120,570,221,22,ascaris,2021-11-09 10:43:09
69,1831392,525,621,653,711,22,ascaris,2021-11-09 10:43:09
70,1831392,827,671,955,743,22,ascaris,2021-11-09 10:43:09
71,1831392,863,508,991,605,22,ascaris,2021-11-09 10:43:09
72,1831392,914,63,1042,153,22,ascaris,2021-11-09 10:43:09
73,1831417,8,341,136,446,22,ascaris,2021-11-09 10:43:09
74,1831417,152,533,280,605,22,ascaris,2021-11-09 10:43:09
75,1831417,335,575,463,647,22,ascaris,2021-11-09 10:43:09
76,1831417,385,632,513,704,22,ascaris,2021-11-09 10:43:09
77,1831417,817,125,945,197,22,ascaris,2021-11-09 10:43:09
78,1831417,916,116,1044,188,22,ascaris,2021-11-09 10:43:09
79,1831417,1095,451,1223,552,22,ascaris,2021-11-09 10:43:09
80,1831441,1106,192,1181,264,22,ascaris,2021-11-09 10:43:09
81,1831441,0,303,128,375,22,ascaris,2021-11-09 10:43:09
82,1831441,45,377,173,449,22,ascaris,2021-11-09 10:43:09
83,1831441,164,152,292,224,22,ascaris,2021-11-09 10:43:09
84,1831441,421,610,549,682,22,ascaris,2021-11-09 10:43:09
85,1831441,529,604,657,676,22,ascaris,2021-11-09 10:43:09
86,1831441,616,577,744,649,22,ascaris,2021-11-09 10:43:09
87,1831441,946,126,1074,198,22,ascaris,2021-11-09 10:43:09
88,1831441,1044,511,1172,583,22,ascaris,2021-11-09 10:43:09
89,1831491,0,80,67,152,22,ascaris,2021-11-09 10:43:09
90,1831491,115,140,243,244,22,ascaris,2021-11-09 10:43:09
91,1831491,165,310,293,404,22,ascaris,2021-11-09 10:43:09
92,1831491,577,649,705,721,22,ascaris,2021-11-09 10:43:09
93,1831491,817,66,945,175,22,ascaris,2021-11-09 10:43:09
94,1831491,877,535,1005,607,22,ascaris,2021-11-09 10:43:09
95,1831497,0,353,82,425,22,ascaris,2021-11-09 10:43:09
96,1831497,38,516,128,607,22,ascaris,2021-11-09 10:43:09
97,1831497,70,325,180,411,22,ascaris,2021-11-09 10:43:09
98,1831497,216,432,344,504,22,ascaris,2021-11-09 10:43:09
99,1831497,874,70,977,174,22,ascaris,2021-11-09 10:43:09
100,1831497,1043,145,1171,271,22,ascaris,2021-11-09 10:43:09
101,1831497,1093,325,1221,397,22,ascaris,2021-11-09 10:43:09
102,1831507,279,29,407,101,22,ascaris,2021-11-09 10:43:09
103,1831507,309,0,437,72,22,ascaris,2021-11-09 10:43:09
104,1831507,323,177,451,249,22,ascaris,2021-11-09 10:43:09
105,1831507,378,61,506,133,22,ascaris,2021-11-09 10:43:09
106,1831507,358,227,486,299,22,ascaris,2021-11-09 10:43:09
107,1831507,488,171,616,266,22,ascaris,2021-11-09 10:43:09
108,1831507,437,387,565,472,22,ascaris,2021-11-09 10:43:09
109,1831507,517,274,645,373,22,ascaris,2021-11-09 10:43:09
110,1831507,710,424,838,541,22,ascaris,2021-11-09 10:43:09
111,1831507,893,370,1021,442,22,ascaris,2021-11-09 10:43:09
112,1831507,949,521,1077,628,22,ascaris,2021-11-09 10:43:09
113,1831507,1006,326,1134,398,22,ascaris,2021-11-09 10:43:09
114,1831507,1160,432,1288,504,22,ascaris,2021-11-09 10:43:09
115,1831517,268,412,396,484,22,ascaris,2021-11-09 10:43:09
116,1831517,428,20,556,92,22,ascaris,2021-11-09 10:43:09
117,1831517,628,62,756,134,22,ascaris,2021-11-09 10:43:09
118,1831517,824,0,952,72,22,ascaris,2021-11-09 10:43:09
119,1831517,1232,24,1324,96,22,ascaris,2021-11-09 10:43:09
120,1831547,11,366,112,438,22,ascaris,2021-11-09 10:43:09
121,1831547,40,607,143,679,22,ascaris,2021-11-09 10:43:09
122,1831547,52,446,180,518,22,ascaris,2021-11-09 10:43:09
123,1831547,77,414,173,486,22,ascaris,2021-11-09 10:43:09
124,1831547,221,412,312,484,22,ascaris,2021-11-09 10:43:09
125,1831547,230,419,334,491,22,ascaris,2021-11-09 10:43:09
126,1831547,450,195,578,301,22,ascaris,2021-11-09 10:43:09
127,1831547,672,423,800,495,22,ascaris,2021-11-09 10:43:09
128,1831547,741,0,869,36,22,ascaris,2021-11-09 10:43:09
129,1831547,779,668,907,740,22,ascaris,2021-11-09 10:43:09
130,1831547,1164,623,1304,716,22,ascaris,2021-11-09 10:43:09
131,1831547,1165,397,1293,469,22,ascaris,2021-11-09 10:43:09
132,1831604,0,84,87,156,22,ascaris,2021-11-09 10:43:09
133,1831604,0,249,68,346,22,ascaris,2021-11-09 10:43:09
134,1831604,28,0,156,58,22,ascaris,2021-11-09 10:43:09
135,1831604,91,102,219,174,22,ascaris,2021-11-09 10:43:09
136,1831604,191,576,319,648,22,ascaris,2021-11-09 10:43:09
