,image_path,original_filename,study_id,scan_uuid,focus_value,stack_id,obj_name
0,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01631_X013_Y012_Z5107_600_375.jpg,I01631_X013_Y012_Z5107.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.82953,1658220,133
1,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01632_X013_Y012_Z5175_600_375.jpg,I01632_X013_Y012_Z5175.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.70408,1658220,133
2,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01633_X013_Y012_Z5722_600_375.jpg,I01633_X013_Y012_Z5722.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.6991799999999997,1658220,133
3,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01634_X013_Y012_Z5244_600_375.jpg,I01634_X013_Y012_Z5244.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.5026599999999997,1658220,133
4,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01635_X013_Y012_Z5654_600_375.jpg,I01635_X013_Y012_Z5654.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.3644999999999996,1658220,133
5,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01636_X013_Y012_Z5312_600_375.jpg,I01636_X013_Y012_Z5312.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-1.78172,1658220,133
6,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01637_X013_Y012_Z5585_600_375.jpg,I01637_X013_Y012_Z5585.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-1.5970499999999999,1658220,133
7,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01638_X013_Y012_Z5517_600_375.jpg,I01638_X013_Y012_Z5517.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-0.2322999999999995,1658220,133
8,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01639_X013_Y012_Z5380_600_375.jpg,I01639_X013_Y012_Z5380.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,0.0,1658220,133
9,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01640_X013_Y012_Z5449_600_375.jpg,I01640_X013_Y012_Z5449.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,0.7714100000000004,1658220,133
10,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01961_X008_Y012_Z4736_600_150.jpg,I01961_X008_Y012_Z4736.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-1.8167,1647451,13
11,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01962_X008_Y012_Z4970_600_150.jpg,I01962_X008_Y012_Z4970.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-1.70088,1647451,13
12,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01963_X008_Y012_Z5439_600_150.jpg,I01963_X008_Y012_Z5439.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-1.66089,1647451,13
13,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01964_X008_Y012_Z5029_600_150.jpg,I01964_X008_Y012_Z5029.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-1.42352,1647451,13
14,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01965_X008_Y012_Z5380_600_150.jpg,I01965_X008_Y012_Z5380.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-1.2935699999999999,1647451,13
15,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01966_X008_Y012_Z5087_600_150.jpg,I01966_X008_Y012_Z5087.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-0.9234,1647451,13
16,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01967_X008_Y012_Z5322_600_150.jpg,I01967_X008_Y012_Z5322.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-0.8409399999999998,1647451,13
17,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01968_X008_Y012_Z5146_600_150.jpg,I01968_X008_Y012_Z5146.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-0.3989099999999999,1647451,13
18,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01969_X008_Y012_Z5263_600_150.jpg,I01969_X008_Y012_Z5263.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,-0.23914999999999997,1647451,13
19,31/71a07477-f074-4d0d-96ed-04efe7becf98/I01970_X008_Y012_Z5205_600_150.jpg,I01970_X008_Y012_Z5205.jpg,31,71a07477-f074-4d0d-96ed-04efe7becf98,0.0,1647451,13
20,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01981_X014_Y014_Z5058_150_75.jpg,I01981_X014_Y014_Z5058.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.45262,1658248,141
21,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01982_X014_Y014_Z5673_150_75.jpg,I01982_X014_Y014_Z5673.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.43594,1658248,141
22,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01983_X014_Y014_Z5126_150_75.jpg,I01983_X014_Y014_Z5126.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.37617,1658248,141
23,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01984_X014_Y014_Z5605_150_75.jpg,I01984_X014_Y014_Z5605.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.20534,1658248,141
24,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01985_X014_Y014_Z5195_150_75.jpg,I01985_X014_Y014_Z5195.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-2.16122,1658248,141
25,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01986_X014_Y014_Z5537_150_75.jpg,I01986_X014_Y014_Z5537.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-1.71917,1658248,141
26,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01987_X014_Y014_Z5263_150_75.jpg,I01987_X014_Y014_Z5263.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-1.48358,1658248,141
27,31/fba56d57-656e-4b6f-ba63-e4ba3ad083f5/I01988_X014_Y014_Z5468_150_75.jpg,I01988_X014_Y014_Z5468.jpg,31,fba56d57-656e-4b6f-ba63-e4ba3ad083f5,-0.7978399999999999,1658248,141
